,순위,mean,ISBN,상품명,저자,출판사,설명,관리분류,top_topic,topic_dist,topic_words
251,38.0,42.0,9788932474533,초현실주의자들의 은밀한 매력,데즈먼드 모리스/이한음,을유문화사,털 원숭이 세계 학 예술가 데즈먼드 모리스 초 현실 주의자 초 현실 주의 본디 철학 개념 출발 독립 예술 사조 가기 시작 초 현실 주의자 은밀 매력 운동 시기 서른 명의 예술가 비하인드 스토리 살바도르 달리 피카소 프랜시스 베이컨 마그리트 앙드레 브르통 호안 미로 마르셀 뒤샹 레이 예술가 미술 작품 분석 인물 자체 초점 얼마나 정신 해방 미적 혁신 추구 사람 초 현실 주의 운동 마지막 세대 참여 데즈먼드 모리스 직접 체험 토대 전통 관습 거부 섬광 생애 편의 매력 영화,예술,12,"[(12, 0.33561867475509644), (11, 0.22835619747638702), (1, 0.15102063119411469), (9, 0.09532040357589722)]",철학 의미 이해 교수 통찰
252,47.0,63.2,9788932474540,플루타르코스 영웅전 세트,플루타르코스/신복룡,을유문화사,인류 역사상 영웅 열전 서양 문화 씨앗 보물 상자 을유 문화 사의 완역 사람 운명 가차 팽개칠 대처 유럽 역사 초창 정치가 장군 삶 플루타르코스 영웅 이하 영웅 따라서 서유럽 초기 역사 문화 지도자 처세 윤리 교양 백과사전 영웅 세기 초 성경 그리스 비극 서양 교양 공통 핵심 자리 이유 여기 실제 영웅 나폴레옹 처칠 정치가 군인 몽테뉴 프랜시스 베이컨 루소 여러 지성인 사상 영향 셰익스피어 실러 괴테 비롯 영감 선사,역사,3,"[(3, 0.5124413371086121), (12, 0.2773148715496063), (11, 0.09944990277290344), (9, 0.06951677799224854)]",역사 정치 대통령 중국 일본
253,9.0,9.0,9788932474601,오디오ㆍ라이프ㆍ디자인,기디언 슈워츠/이현준,을유문화사,오디오 경의 표 매혹 디자인 소리 황홀 디자이너 영감 무한 찬사 슈워 츠 슈워츠 오디오 꿈 변호사 오디오 아츠 설립 마침내 경험 열정 결과물 오디오 라이프 디자인 오디오 파일 소개 오디오 시작 현재 세계 오디오 발명 에디슨 하이엔드 오디오 개막 마크 레빈슨 편견 한계 극복 혁신 오마주 하이엔드 오디오 라이프 프랭크 나트 헤프 스티브 잡스 유명인 취향 대목 오디오 애호가 음악 디자인 라면 관심 도판,예술,10,"[(10, 0.5822654962539673), (2, 0.157830148935318), (12, 0.06565684080123901), (11, 0.06260532885789871)]",유튜브 음악 기업 채널 클래식
254,79.0,79.0,9788932474632,인간과 사진,제프 다이어/김유진,을유문화사,세기 사진 비평 최전선 제프 어의 리뷰 예술 사유 무척 매혹 사진 비평 한정 면 작업 수행 사람 제프 버거 심정 후계 제프 현대 사진 비평 명성 인물 가운데 정작 비평 지속 작업 칼럼 서문 특정 지면 작성 로만 진행 사진 어의 비평 만날 여기 제프 어의 비평 길이 압축 더욱 통찰,예술,12,"[(12, 0.555332362651825), (1, 0.19850212335586548), (9, 0.09535820037126541), (2, 0.06920509040355682)]",철학 의미 이해 교수 통찰
255,39.0,60.0,9788932474649,김헌의 그리스 로마 신화,김헌,을유문화사,인류 궁극 바이블 서구 문명 기반 그리스 로마 신화 개괄 김헌 그리스 로마 신화 을유 화사 김헌 클라스 서재 세계사 다수 방송 프로그램 출연 대중 고전 작품 널리 알리 학자 그간 연구 그리스 로마 신화 집대성,인문,3,"[(3, 0.4360959529876709), (12, 0.35691872239112854), (2, 0.09112296253442764), (5, 0.04011017084121704)]",역사 정치 대통령 중국 일본
256,13.0,41.3,9788932474724,마법의 비행,리처드 도킨스/이한음,을유문화사,과학 고전 이기 유전자 리처드 도킨스 마법 비행 을유 화사 동물 비행 원리 진화 과정 과학 증거 리처드 도킨스 통찰 위트 설명 비행 생물 조류 곤충 몽골 피 열기구 라이트 형제 동력 비행기 비행 관련 거의 대상 이해 사실 면서 일러스트 가치,자연과학,12,"[(12, 0.3043433129787445), (7, 0.24750718474388123), (9, 0.2052661031484604), (3, 0.10180085152387619)]",철학 의미 이해 교수 통찰
257,24.0,47.0,9788932474748,"인생, 예술",윤혜정,을유문화사,국제 갤러리 디렉터 문화 예술 최전선 활동 윤혜정 예술 명의 현대 예술가 지은이 사적 경험 감정 여성 다섯 키 워드 중심 지난 반 바자 연재 출발점 교과서 등장 이름 낯선 작품 삶 단면 결코 삶 예술 예술 곧 삶 만날 전문 서적 통용 장식 매우 학구 태도 매우 감상 시선 꽉 찬 이론 텅 빈 감상 사이 일종 리가 바람,예술,1,"[(1, 0.37820038199424744), (12, 0.31214579939842224), (5, 0.16854016482830048), (15, 0.05638052523136139)]",미술 작품 사진 예술 컬러
258,1.0,1.8,9788932474755,헤어질 결심 각본,박찬욱/정서경,을유문화사,영화 각본 선사 즐거움 촬영 편집 최종 결과물 차이 발견 결심 각본 발견 즐거움 예 직접 산해경 내면 열쇠 제공 이포 전해 질 곡동 사건 후일담 기운 편집 과정 삭제 부분 역시 결심 세계 풍요롭 관객 편집 상상 수도 영화 명대사 그대로 재 확인 즐거움 결심 확인 즐거움 각별 작품 분위기 한국어 대사 활자 매력 풍기 대사 역시 단어 얼마나 공 볼,예술,9,"[(9, 0.404643177986145), (15, 0.2622836232185364), (2, 0.17606987059116364), (12, 0.09347596019506454)]",시작 방법 처음 생활 마음
259,1.0,4.5,9788932474786,헤어질 결심 스토리보드북,이윤호/박찬욱,을유문화사,관객 마음속 여운 영화 결심 디테일 영화 결심 박해일 탕웨이 비롯 배우 열연 인상 대사 디 테일로 관객 각본 관심 영화 각본 사상 종합 이처럼 결심 준 스토리보드 발간 스토리보드 각본 실제 영상 과정 기초 작업 일종 설계도 그리기 해당 작업 시각 계획 해도 과언 따라서 카메라 강조 장면 전환 식 결심 시각 디테 일이 감상,예술,15,"[(15, 0.35625210404396057), (12, 0.23071031272411346), (9, 0.23004715144634247), (5, 0.0631486251950264)]",소설 작품 영화 문학 감독
260,68.0,68.0,9788932474793,확장된 표현형 (출간 40주년 기념 리커버판),리처드 도킨스/홍영남/장대익/권오현,을유문화사,이기 유전자 리처드 도킨스 역작 확장 표현형 기념 커버 기존 이기 유전자 기념 판형 내지 디자인 가독성 저서 명실 상부 리처드 도킨스 과학자 성과 롯 걸작 작품 확장 표현형 꼽 바 도킨스 이기 유전자 유전자 팔 이란 실 당장 확장 표현형 정도 학문 자부심 애착 바 리처드 도킨스 사상 유전 결정론 오해 반박 유전자 이처럼 결정론 원인 평가 이유 가운데 획득 형질 유전 주장 초래 혼란,자연과학,12,"[(12, 0.48403599858283997), (7, 0.2318623811006546), (2, 0.10150959342718124), (9, 0.08827179670333862)]",철학 의미 이해 교수 통찰
261,39.0,34.5,9788932501321,양양이의 성경보물찾기 신약편,여강현/어린이 매일성경 편집팀,성서유니온선교회,만화 어린이 신약성경 개관 양양 이의 성경 보물찾기 신약 어린이 성경 어린이 기사 엮 예수님 호기심 양양 마태복음 요한계시록 성경 주시 보물 간다 성경 지식 신앙,종교,16,"[(16, 0.44198042154312134), (4, 0.26940155029296875), (12, 0.06143588945269585), (2, 0.05124453827738762)]",하나님 기도 성경 교회 말씀
262,11.0,20.7,9788932502205,모든 사람을 위한 성경 묵상법,김기현,성서유니온선교회,묵상 시작 묵상 묵상 실전 매뉴얼 사람 성경 묵상 묵상 처음 시작 묵상 실전 매뉴얼 묵상 시작 묵상 수준 단계 묵상 공동체 실천 활용 기도 적용 나눔 예배 제시 묵상 어려움 살피 부분 구체 설명 묵상 실제 도움 도전,종교,16,"[(16, 0.5167211294174194), (0, 0.37162941694259644), (7, 0.026551777496933937), (8, 0.026498915627598763)]",하나님 기도 성경 교회 말씀
263,14.0,31.5,9788932521596,에브리데이 스터디 바이블,틴데일하우스 출판사/김명희/이철민/전의우,성서유니온선교회,성서 유니온 기념 미국 기독교 수상작 영미권 누적 스터디 바이블 공식 한국어 묵상 적용 성경 동반 에브리데이 스터디 바이블 하나님 말씀 한계 전달 진리 발견 말씀 삶 직결 개인 적용 해설 퍼센트 적용 할애 설명 하라 말씀 가족 친구 직장 이웃 교회 나라 의미 성경 구절 통찰 상상 보라,종교,16,"[(16, 0.38618314266204834), (6, 0.2155546396970749), (12, 0.17967425286769867), (9, 0.07191915065050125)]",하나님 기도 성경 교회 말씀
264,75.0,75.0,9788932527055,회복하시는 하나님,크리스토퍼 J. H. 라이트/전의우,성서유니온선교회,탄식 하나님 사람 하나님 시험 아브라함 비번 영 복음 룻 나오미 우울증 두려움 엘리야 코헬렛 환멸 원망 연민 예레미야 개인 야망 좌절 바룩 실패 죄책감 베드로 성경 하나님 종 심 진심 순종 상처 우울증 절망 실패 영적 등장 충성 하나님 사람 어려움 적지 성경 인물 내면 하나님 손길 곧 치유 하나님 사명 치유 하나님 손길 내적 삶 사명 하나님 사 손길 절실 부분,종교,16,"[(16, 0.4835335612297058), (5, 0.41005855798721313), (15, 0.04307492449879646), (12, 0.0280818622559309)]",하나님 기도 성경 교회 말씀
265,29.0,29.0,9788932550510,하나님의 뜻,제럴드 싯처/윤종석,성서유니온선교회,하나님 뜻 신화 신비 하나님 뜻 소명 본질 중요성 고난 현실 역설 인생 자유 하나님 말씀 방법 하나님 뜻 관련 여러 측면 지혜롭 삶 하나님 뜻 이해 빛 하나님 뜻 인식 처음 끝 삶 하나님 은혜 함 확신 삶 여정 추천 싯처 퇴고 심정 작업 진행 단락 목차 배열 약 페이지 해당 내용 과정 기존 삭제,종교,16,"[(16, 0.3875185549259186), (12, 0.22029940783977509), (5, 0.14291127026081085), (0, 0.09930536150932312)]",하나님 기도 성경 교회 말씀
266,65.0,65.0,9788932620640,스트링빌더 첼로 교본 1,사무엘 아플레바움 저,삼호뮤직(삼호출판사),기본 박자 음표 사용 접근 현악기 처음 시작 사람 활 오른손 연습 곡 등장 개방 현 멜로디 첫째 손가락 연습 시작 곡 피아노 연주 민요 반주 역할 가락 음악 목적 외 리듬 흥미 자극 현실 난이도 적용 최소한 주석 구성 각각 곡 왼손 테크닉 오른손 활 쓰기 기초,예술,10,"[(10, 0.29046815633773804), (0, 0.24291276931762695), (9, 0.20034745335578918), (12, 0.17723898589611053)]",유튜브 음악 기업 채널 클래식
267,41.0,36.6,9788932624723,포인트 간추린 체르니 100,편집부 편,삼호뮤직(삼호출판사),체르니 교재 고민 포인트 간추린 체르니 체르니 연습곡 원래 총 곡 포인트 간추린 체르니 곡 꼭 필수 곡 곡 추린 피아노 연습곡 곡마 연습 포인트 연습 목표 바르게 설정 피아노 기초 연습 도움 컬러 심플 디자인 악보 가독성 악보 더욱더 무수 체르니 교본 고민 포인트 간추린 체르니 테크닉 완성,예술,0,"[(0, 0.5925848484039307), (10, 0.29759934544563293), (5, 0.03420179709792137), (1, 0.026464050635695457)]",학습 설명 이해 활용 기초
268,76.0,76.0,9788932630090,방과후(애프터스쿨)바이올린교본 1,편집부 편,삼호뮤직(삼호출판사),바이올린 처음 학생 연습 교본 현악기 바이올린 특성 초 단계 음 직접 위치 운지 표현 교재 바이올린 처음 접 학생 위치 운지 바이올린 악보 운지 예시 첨부,예술,0,"[(0, 0.6659860610961914), (13, 0.1197914108633995), (10, 0.0824599638581276), (5, 0.05413895845413208)]",학습 설명 이해 활용 기초
269,60.0,68.5,9788932634753,Disney 디즈니 재즈소곡집 1,콘텐츠기획1 저,삼호뮤직(삼호출판사),뮤직 디즈니 콜라보레이션 재즈 소곡 디즈니 영화 연주 바이엘 후반 체르니 난이도 클래식 영화 드라마 광고 예능 올드팝 뉴에이지 만화영화 주옥 명곡 연주 편곡 디즈니 만화 영화 장면 연주 만화 영화 장면 포스터 연주 음악 즐거움 움,예술,10,"[(10, 0.46198776364326477), (15, 0.1876503974199295), (2, 0.12724170088768005), (9, 0.07212898135185242)]",유튜브 음악 기업 채널 클래식
270,63.0,63.0,9788932634920,디즈니 Disney 바이엘 1,콘텐츠기획 1팀 저,삼호뮤직(삼호출판사),디즈니 애니메이션 캐릭터 니모 피아노 디즈니 바이엘 왼손 도 오른손 온도 시작 정통 바이엘 기초 곡집 병행 교재 사용 고려 바이엘 테크닉 곡 집중 손가락 미취 학 아동 시작 아이 눈높이 편곡 연구 검토 바탕 수정 보완 난이도 굴곡 순차,예술,10,"[(10, 0.26825565099716187), (12, 0.22253070771694183), (0, 0.18915633857250214), (9, 0.14207865297794342)]",유튜브 음악 기업 채널 클래식
271,73.0,73.0,9788932635088,Disney 계이름 공부 1,편집부 저,삼호뮤직(삼호출판사),무작정 계이름 학습 탈피 실제 곡 활용 구성 실용 교재 피아노 교본 계이름 진도 학습 계이름 연주 실습 반복 학습 자연 계이름 실제 연주 교본 동요 곡 집의 곡 피아노 연주 시 도움,예술,0,"[(0, 0.5576329231262207), (10, 0.3293573558330536), (9, 0.04428385570645332), (12, 0.012904147617518902)]",학습 설명 이해 활용 기초
272,18.0,42.4,9788932816425,내면세계의 질서와 영적 성장,고든 맥도날드,IVP,면세 질서 획기 제기 그리스도인 도전 변화 삶 근본 해결 면세 질서 강조 국내 초판 가량 테디 확대 일생 회고 좀더 개인 자전 내용 추가 영적 거장 한층 통찰 선사,종교,12,"[(12, 0.3276348114013672), (11, 0.29114627838134766), (2, 0.1942790299654007), (16, 0.09602824598550797)]",철학 의미 이해 교수 통찰
273,78.0,78.0,9788932818405,하나님을 사랑한 사상가 10인,알리스터 맥그래스/신재구,IVP,사람 마음 불 기독교 사상가 삶 사상 여행 아타나시우스 안셀무스 아우구스티누스 토마스 아퀴나스 마르틴 루터 츠빙글리 칼뱅 나단 에드워즈 바르트 루이스 인의 사상 은혜 죄 대하 그리스도 죽음 의미 대하 신앙 이성 대하 차원 인도 그리스도 신성 하나님 은혜 그리스도 죽음 신앙 이성 신앙 경험 죄인 칭 하나님 지식 복음 문화 고민 앞서 믿음 사람 아타나시우스 안셀무스 아우구스티누스 토마스 아퀴나스 마르틴 루터 츠빙글리 칼뱅 나단 에드워즈 바르트 루이스 그리스도인 비 그리스도인 영향,종교,16,"[(16, 0.4828436076641083), (12, 0.3016113340854645), (5, 0.1548873633146286), (14, 0.022292880341410637)]",하나님 기도 성경 교회 말씀
274,69.0,69.0,9788932818429,우리가 몰랐던 1세기 교회,박영호,IVP,성서학자 박영호 목사 세기 교회 오해 진실 다음 무슨 책장 수가 초기 교회 관심 학자 목회자 면모 박영호 목사 세기 교회 여행 이보 가이드 어디 학문 엄밀 성과 대중 문체 안내 땀 냄새 드로아 다락방 지나 바울 선교 도시 광장 장터 골목 등등 세기 곳곳 누벼 세기 교회 오해 편견 주님 몸 교회 더욱 김영봉 목사 싱톤 교회 김지철 목사 미래 목회 말씀 연구원 김학철 교수 연세대학교 추천,종교,16,"[(16, 0.300485223531723), (12, 0.2890170216560364), (9, 0.18262891471385956), (14, 0.07163635641336441)]",하나님 기도 성경 교회 말씀
275,49.0,58.0,9788932818757,고난이 하는 일,박영선,IVP,위드 코로나 그리스도인 반전 메시지 고난 의미 고난 고난 언제 끝 절망 반전 구약 바빌론 포로 하나님 심판 유다 왕국 백성은 이방 땅 바빌론 하나님 예배 율법 포로 생활 나라 성전 상황 백성 포로 하나님 심판 정의 고 위함 포 로기 이스라엘 백성 고난 시기 고난 잘못 응징 위함 다음 길이 음,종교,16,"[(16, 0.621566891670227), (11, 0.21909327805042267), (5, 0.09400615841150284), (4, 0.02405386231839657)]",하나님 기도 성경 교회 말씀
276,48.0,41.5,9788932819419,내향적인 그리스도인을 위한 교회 사용 설명서,애덤 맥휴/강신덕,IVP,교회 그리스도인 안내서 교회 그리스도인 모습 외향 사람 모습 예배당 사람 대화 교회 신자 적극 환대 모임 참여 사람 문화 그리스도인 교회 인식 사람 목회자 분투 내향성 어려움 그리스도인 위로 구체 조언 하나님 창조 내향성 외향성 조화 교회 문화 제안,종교,16,"[(16, 0.4597059190273285), (5, 0.2869686186313629), (12, 0.19542141258716583), (9, 0.011027069762349129)]",하나님 기도 성경 교회 말씀
277,60.0,60.0,9788932820804,내 마음 그리스도의 집,로버트 멍어,IVP,전세계 천만 한글 테디 소책자 일러스트 묵상 그림책,종교,2,"[(2, 0.3251989781856537), (9, 0.13983891904354095), (0, 0.11685794591903687), (4, 0.11550215631723404)]",드라마 미국 만화 아마존 기념
278,73.0,73.0,9788932881164,늘 급한 일로 쫓기는 삶,찰스 험멜,IVP,늘 하루하루 근본 원인 부족 우선 순위 정작 먼저 갈피 잡지 당장 심 방향 설정 우선 순위 성경 원칙 제시 소명 통찰 도전,종교,5,"[(5, 0.3797929286956787), (11, 0.3735499382019043), (16, 0.16364042460918427), (12, 0.016034677624702454)]",인생 마음 감정 위로 경험
279,68.0,68.0,9788932915708,한 여자,아니 에르노,열린책들,에르 노 노르망디 소읍 이브 토 카페 겸 식료품점 운영 부모 아래 유년 시절 로부터 시작 자전 소재 픽션 거부 역사 경험 개인 체험 혼합 그녀 작품 그녀 그녀 삶 해부,소설/시/희곡,5,"[(5, 0.4468853771686554), (15, 0.2575421631336212), (3, 0.14952196180820465), (11, 0.04466690123081207)]",인생 마음 감정 위로 경험
280,78.0,74.3,9788932917207,앵무새 죽이기,하퍼 리/김욱동,열린책들,국어 세계 천만 앵무새 성경 다음 영향력 미국 하퍼 앵무새 디자인 하퍼 앵무새 직후 미국 전역 선풍 인기 이듬해 하퍼 퓰리처상 영예 준 작품 국어 천만 현재 미국 매년 백만 테디 미국 국회 도서관 성경 다음 영향력 미국 라이브러리 널 세기 영향력 소설 영국 플레이 영국인 꼽 역사상 소설 추천 목록 자리 차지 작품,소설/시/희곡,2,"[(2, 0.5481603741645813), (3, 0.14972224831581116), (15, 0.12868064641952515), (8, 0.06451324373483658)]",드라마 미국 만화 아마존 기념
281,69.0,54.5,9788932917245,어린 왕자,앙투안 드 생텍쥐페리/황현산,열린책들,세계 생텍쥐페리 왕자 문학 평론가 황현산 선생 프랑스어 원문 이해 정확 문학 통찰 고루 문학 입지 황현산 선생 작품 생텍쥐페리 문체 고스 란 내기 심혈 원문 텍스트 마무리 작업 국내 왕자 원전 가치 한국어 결정 마련 별 왕자 시선 모순 어른 세계 소설 꾸밈 문체 동화 삶 성찰 은유 작품,소설/시/희곡,15,"[(15, 0.3309497535228729), (12, 0.31350067257881165), (9, 0.14885590970516205), (5, 0.07940416038036346)]",소설 작품 영화 문학 감독
282,61.0,66.6,9788932919584,우리는 왜 잠을 자야 할까,매슈 워커/이한음,열린책들,잠 카페인 알코올 잠 영향 렘수 실제 수면 양상 나이 먹음 수면제 작용 장기 피해 과학 발견 요약 수십 연구 임 상적 성과 종합 꿈 학습 기분 활 증진 호르몬 조절 암 알츠하이머병 당뇨병 예방 노화 효과 수명 증가 아이 학습 수명 증진 능률 성취도 생산 설명 흥미진진 이해 수면 잠 이해 인식 잠 노력,인문,11,"[(11, 0.3260858952999115), (5, 0.15820172429084778), (12, 0.13687720894813538), (4, 0.13104645907878876)]",사회 미래 변화 위기 코로나
283,73.0,73.0,9788932921037,문명 1,베르나르 베르베르/전미연,열린책들,전염병 테러 전쟁 한계 인류 문명 자리 대신 문명 어디 베르나르 베르베르 신작 장편소설 문명 프랑스문학 전문 번역가 미연 소설 배경 전염병 사망 테러 전쟁 황폐 세계 소설 프랑스 처음 해도 사용 디스토피아 배경 코로나 더욱더 설정 문명 인류 문명 벼랑 끝 무대 고양이 주인공 고양이 바스테트 모험 소설 고양이 일차 목표 기하 급수 불어 쥐 떼 공격 물리 환경 최종 목표 인류 문명 대신 문명 건설,소설/시/희곡,15,"[(15, 0.43266791105270386), (11, 0.3545023202896118), (3, 0.1298626810312271), (9, 0.03763522207736969)]",소설 작품 영화 문학 감독
284,72.0,72.0,9788932921044,문명 2,전미연/베르나르 베르베르,열린책들,전염병 테러 전쟁 한계 인류 문명 자리 대신 문명 어디 베르나르 베르베르 신작 장편소설 문명 프랑스문학 전문 번역가 미연 소설 배경 전염병 사망 테러 전쟁 황폐 세계 소설 프랑스 처음 해도 사용 디스토피아 배경 코로나 더욱더 설정 문명 인류 문명 벼랑 끝 무대 고양이 주인공 고양이 바스테트 모험 소설 고양이 일차 목표 기하 급수 불어 쥐 떼 공격 물리 환경 최종 목표 인류 문명 대신 문명 건설,소설/시/희곡,15,"[(15, 0.35296401381492615), (11, 0.3385615348815918), (3, 0.11392191797494888), (4, 0.08168196678161621)]",소설 작품 영화 문학 감독
285,12.0,26.7,9788932921365,상대적이며 절대적인 지식의 백과사전,전미연/임호경/이세욱/베르나르 베르베르,열린책들,상상력 베르나르 베르베르 창작 원천 상 절 백 사람 상상력 자극 지식 일화 잠언 단상 총 항목 상대 절대 지식 백과사전 개미 뇌 나무 신 문명 상상력 거장 베르나르 베르베르 개미 데뷔 매혹 스토리 작품 발표 도대체 마르지 창작 원천 어디 상대 절대 지식 백과사전 비밀 베르베르 열세 혼자 비밀 노트,에세이,15,"[(15, 0.535009503364563), (9, 0.16480538249015808), (7, 0.10016345232725143), (6, 0.08029106259346008)]",소설 작품 영화 문학 감독
286,68.0,67.0,9788932921372,대서울의 길,김시덕,열린책들,서울 길 도시 문헌학 고유 방법론 도시 답사 모델 서울 선언 시리즈 시즌 규장각 국학 연구소 김시덕 교수 신간 서울 길 제목 그대로 길 주인공 교외선 수려선 국도 서울 외곽 번성 철길 도로 시민 잊힌 역사 서울 구조 서울 선언 애독자 라면 예상 답사 대의 왕 양반 전쟁 영웅 기념물 등장 대신 철길 변 마을 지명 비석 국도 표지 석 폐역 플랫폼 서울 주변 길 관련 도시 화석 지면 전작 답사 범위 훌쩍 정의 서울 경계 끝 강원도 춘천 원주 충청남도 천안 아산,역사,13,"[(13, 0.42494213581085205), (12, 0.13174773752689362), (2, 0.12811264395713806), (11, 0.113580122590065)]",도시 서울 길 여행 음식
287,60.0,60.0,9788932922041,낯선 사람에게 말 걸기,황보석/이종인/민승남/김석희/폴 오스터,열린책들,세계 폴 오스 터 산문 컬렉션 문학 글쓰기 정치 삶 대하 소설가 폴 오스 터 에세이스트 시인 번역가 시나리오 낯선 사람 산문 선 엮 선집 여기 발표 스타 슬라프 늑대 추가 서문 편지 형식 지적 유머 언어 문학 글쓰기 정치 삶 발견 재능 문학 경로 평생 작업 자의 이력 사회 책임감 시민 목소리,에세이,12,"[(12, 0.2749018669128418), (15, 0.20812134444713593), (4, 0.16670887172222137), (5, 0.11066839843988419)]",철학 의미 이해 교수 통찰
288,78.0,64.0,9788932922362,행성 1,베르나르 베르베르/전미연,열린책들,행성 운명 최후 결전 시작 세계 백만 한국어 누 쇄 돌파 베르나르 베르베르 신작 장편소설 베르나르 베르베르 신작 장편소설 행성 프랑스 문학 전문 번역가 미연 코로나 바이러스 세계 맹위 프랑스 발표 작품 영향 베르베르 전작 디스토피아 성격 봄 발표 초 단편소설 호모 콘피누스 지하 격리 인류 묘사 베르베르 행성 땅 발 고층 빌딩 인류 등장 전쟁 테러 감염병 인구 황폐 세계 시스템 마비 도시 쓰레기 쥐 뒤 주인공 고양이 바스테트 쥐 마지막 희망 타고 파리 뉴욕 신세계,소설/시/희곡,15,"[(15, 0.7004317045211792), (11, 0.23626059293746948), (12, 0.020319046452641487), (2, 0.016948401927947998)]",소설 작품 영화 문학 감독
289,63.0,63.0,9788932922379,행성 2,베르나르 베르베르/전미연,열린책들,행성 운명 최후 결전 시작 세계 백만 한국어 누 쇄 돌파 베르나르 베르베르 신작 장편소설 베르나르 베르베르 신작 장편소설 행성 프랑스 문학 전문 번역가 미연 코로나 바이러스 세계 맹위 프랑스 발표 작품 영향 베르베르 전작 디스토피아 성격 봄 발표 초 단편소설 호모 콘피누스 지하 격리 인류 묘사 베르베르 행성 땅 발 고층 빌딩 인류 등장,소설/시/희곡,15,"[(15, 0.7715457081794739), (11, 0.18210744857788086), (12, 0.007816984318196774), (5, 0.007748815696686506)]",소설 작품 영화 문학 감독
290,16.0,27.5,9788932922409,독일은 왜 잘하는가,존 캠프너/박세연,열린책들,선데이 타임스 가디언 이코노미스트 뉴스 테이 츠먼 타임스 논픽션 영국인 독일 극찬 자존심 영국인 독일 극찬 차 세계 대전 수도 런던 공습 정치 경제 축구 경기 독일 영국인 칭찬 더구나 영국 현지 좀처럼 서독 특파원 활동 베테 대중 지지 언론인 라면 얘기 뼈 과거 교훈 품위 민주주의 공동체 의식 문화 존중 시민 생활 리더십,인문,3,"[(3, 0.34477806091308594), (2, 0.20439274609088898), (5, 0.10844311118125916), (9, 0.10779616236686707)]",역사 정치 대통령 중국 일본
291,76.0,76.0,9788933114438,단식,페터 뮐러/임정희,바오로딸,단식 영적 동반 전인 의미 단식 살피 교회 전통 바탕 적 단식 소개 삶 의미 탐구 기쁨 구체 주간 프로그램 시한,종교,12,"[(12, 0.3748478889465332), (16, 0.2557843327522278), (2, 0.10971412807703018), (8, 0.10537898540496826)]",철학 의미 이해 교수 통찰
292,73.0,73.0,9788933708095,"푸른 눈썹 같은 봉우리, 아름다운 남산",윤도준,일조각,곁 남산 푸른 눈썹 봉우리 남산 조선 약 남산 변화 대순 학자 여행가 남산 마음 지지 동화약품 회장 윤도준 남산 거의 남산 탐방 기획 만큼 애정 애정 원천 남산 어 두운 역사 둘 정리 실제 탐방 직접 술술 간다,역사,5,"[(5, 0.2921152710914612), (12, 0.2574315071105957), (9, 0.1865830272436142), (13, 0.10728369653224945)]",인생 마음 감정 위로 경험
293,65.0,65.0,9788933801840,엄마의 말뚝,박완서,세계사,지난 세기 사람 경험 상황 세계 경험 박완서 역작 엄마 말뚝 박완서 편의 단편소설 연작 소설 작품 엄마 말뚝 송도 대처 대처 서울 문밖 문밖 문안 이동 박완서 유년 시절 어머니 기억 기인,소설/시/희곡,5,"[(5, 0.3747670352458954), (15, 0.2936013638973236), (12, 0.08641842007637024), (11, 0.08072606474161148)]",인생 마음 감정 위로 경험
294,54.0,54.0,9788933840573,한 말씀만 하소서,박완서,세계사,가톨릭 잡지 연재 말씀 하소 박완서 아들 죽음 기문 박완서 문학 논 자리 자주 거론 작품 꿈 힐리 원제 미망 연재 넉 상 남편 아들 고통 슬픔 찬 몸부림 개인 어미 상처 과거 반추 동시 대인 사람,에세이,5,"[(5, 0.5659573674201965), (15, 0.2324015498161316), (12, 0.04544331133365631), (9, 0.04428385570645332)]",인생 마음 감정 위로 경험
295,30.0,21.5,9788933870693,설민석의 조선왕조실록,설민석,세계사,한국사 강사 설민석 명의 조선 왕 핵심 사건 설민석 특유 흡입 재치 말투 그대로 중간 중간 질의 응답 구성 강연 느낌,역사,10,"[(10, 0.24704934656620026), (2, 0.15265631675720215), (3, 0.15177224576473236), (9, 0.11387794464826584)]",유튜브 음악 기업 채널 클래식
296,67.0,39.7,9788933871553,모래알만 한 진실이라도,박완서,세계사,현역 박완서 주기 기념 결정 박완서 유산 재 조명하 싱아 누가 엄마 말뚝 나목 산이 정말 거기 필 독서 여럿 탄생 박완서 그녀 국문학 획 소설가 이견 제시 사람 상대 덜 사실 그녀 다수 산문 대작 국문학 어머니 칭호 더없이 산문 사람 박완서 곁 맞이 그녀 산문 베스트 선별 작품 몇 개월 박완서 정수,에세이,15,"[(15, 0.3107229173183441), (5, 0.1722293198108673), (4, 0.14618854224681854), (12, 0.13125967979431152)]",소설 작품 영화 문학 감독
297,21.0,53.7,9788933871683,스타트 위드 와이 (START WITH WHY),윤혜리/사이먼 시넥,세계사,개념 영감 셀 사람 변화 뷰 아마존 최 장기 뉴욕타임스 월스트리트저널 사람과 기업 개인 조직 시장 성과 비용 노력 결과 반드시 비례 누군가 누군가 대중 지지 성공 간다 사이먼 시넥 경쟁 사회 전진 조직 현주소 지적 가치 기업 리더 사례 인류 각자 본질 발견 열의 방향 시한 목적 가치 바르게 시작 관점 시작 하라 표현 정의,자기계발,5,"[(5, 0.27822351455688477), (11, 0.23657821118831635), (12, 0.14297813177108765), (10, 0.13766814768314362)]",인생 마음 감정 위로 경험
